,Hütten-Name,Hütte-ID,Hut warden(s),Hut phone number,Total sleeping places,Height above sea level,Coordinates
361,Hinterbalmhütte,496, Claudia Schnellmann, 076 330 12 48, 34, 1817 müM, 703.850 / 181.830
362,"Steinseehütte, Alpenverein Landeck",497, Manuela Kneringer-Schimpfössl, +43 (0)660 49 17 124, 84, 2061 m, 47°13'34'' N / 10°35'14'' O
363,"Rottalhütte SAC, SAC Interlaken",498, Dölf und Irene Grossniklaus +41 79 546 89 56, +41 33 855 24 45, 34, 2755m, E 638'830 / N 152'875
364,Capanna Dötra,500, Mattia Guerinoni, +41 (0)91 872 11 29, 22, 1749, 710’545 / 154’375
365,"Konstanzer Hütte, DAV Sektion Konstanz",502, Familie Schöpf-Eberhart, +436604592138, 90, 1688 m," 47°04'10.0""N 10°11'20.0""E"
366,"Hofalm, Alpenverein Spital am Pyhrn",503, Ingrid Lindlbauer & Gabriel Povacz, +436803135327, 23, 1305 m, UTM Y (Nord) 5.277.572 / UTM X (Ost) 452.779
367,"Hans Wödlhütte, Alpine Gesellschaft Preintaler",504, Herwig Hutegger, +43 664 / 127 83 35, 64, 1533 m, 410.675 / 5245.950
368,"Kistenpasshütte, Sektion Winterthur",505, Ramona Forrer, +41 79 201 35 13, 14, XXX m, XXX.XXX / YYY.YYY
369,"Taubensteinhaus, DAV Sektion München",507, Michael Reiser, +49-162-6879782, 50, 1567 m, 32T 719643 5282741
370,Capanna Arena,510, Società Escursionistica Isorno Melezza, -, 30, 1689 m, 683.000 / 120.688
371,"Cabane Arpitettaz CAS, CAS La Dôle",511, Bernard Jeangros (intendant), +41 27 475 40 28, 32, 2786 m, 618.609 / 105.517
372,"Bivouac au Col de la Dent Blanche CAS, CAS Jaman",513, Anastasia Skorik, 079 938 74 21, 0, 3'540 m, 46.041898/ 7.607075
373,"Ringelspitzhütte SAC, SAC Rätia",514," Eicher Jasmin, Suozzi Fernando", +41 79 632 24 34, 38, 1998 m, 748.070 / 192.350
374,"Rifugio Pian di Crest, SAV",516, Società Alpinistica Valmaggese, +41 91 755 14 14, 39, 2108 m, 680'630 / 138'280
375,"Rifugio Maria Luisa, CAI Sez. Busto Arsizio",517, Giovanni Maceraudi, +39 324 63086, 70, 2'157 m, 46.43477 / 8.42819
376,Capanna Cimetta,518, Vito Procopio, +41 (0)79 664 54 25, 27, 1671 m, 46.20081 / 8.78858
377,Capanna lo Stallone,519, Elisabeth e Claudio Ranuncoli, +41917436146, 35, 1486 m, 46.198531 / 8.796555
